Participant,Group,Perceived Usefulness,Perceived Ease of Use,Ease of Data Collection,Behavioral Intentions,Active Use,Satisfaction
P001,A,3,2,2,2,2,2
P002,B,2,3,2,2,2,3
P003,A,3,2,1,2,2,2
P004,B,2,2,2,1,1,2
P005,A,3,3,2,2,2,3
P006,B,2,2,1,2,2,2
P007,A,3,2,2,3,2,2
P008,B,2,3,2,2,2,3
P009,A,3,2,1,2,1,2
P010,B,2,2,2,1,2,2
P011,A,3,3,2,2,2,3
P012,B,2,2,1,2,1,2
P013,A,3,2,2,2,2,2
P014,B,2,3,2,2,2,3
P015,A,3,2,1,1,1,2
P016,B,2,2,2,2,2,2
P017,A,3,3,2,2,2,3
P018,B,2,2,1,1,1,2
P019,A,3,2,2,2,2,2
P020,B,2,3,2,2,2,3
P021,A,3,2,1,2,1,2
P022,B,2,2,2,1,2,2
P023,A,3,3,2,2,2,3
P024,B,2,2,1,2,1,2
P025,A,3,2,2,2,2,2
P026,B,2,3,2,2,2,3
P027,A,3,2,1,1,1,2
P028,B,2,2,2,2,2,2
P029,A,3,3,2,2,2,3
P030,B,2,2,1,1,1,2
